_id,type,geometry,properties,id
5f16543b4b8c2a92130724ea,Feature,"{'type': 'LineString', 'coordinates': [[-103.82643, 46.28019], [-103.65016, 46.24684], [-103.42861, 46.20493]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Williston Basin Interstate PL Co.', 'Shape_Leng': 0.40488097593, 'Shape__Len': 45912.6151539053}",27512
5f16543b4b8c2a9213071979,Feature,"{'type': 'LineString', 'coordinates': [[-103.25277, 32.50285], [-103.25276, 32.50351]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'Public Service Co. of NM', 'Shape_Leng': 0.00065804863, 'Shape__Len': 86.8572576515012}",24588
5f16543b4b8c2a921307282e,Feature,"{'type': 'LineString', 'coordinates': [[-96.1378, 27.7727], [-96.1952, 27.7255]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Transcontinental Gas PL', 'Shape_Leng': 0.07431419784, 'Shape__Len': 8722.24770193052}",28348
5f16543b4b8c2a92130716ea,Feature,"{'type': 'LineString', 'coordinates': [[-118.51763, 34.21645], [-118.50214, 34.18733]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'Southern California Gas Co.', 'Shape_Leng': 0.03298260972, 'Shape__Len': 4281.89449639045}",23930
5f16543c4b8c2a9213073b1d,Feature,"{'type': 'LineString', 'coordinates': [[-96.26997, 31.80487], [-96.27379, 31.79993], [-96.27597, 31.79948], [-96.28143, 31.79768], [-96.28252, 31.79678]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'Enbridge Pipelines (East Texas)', 'Shape_Leng': 0.01563514364, 'Shape__Len': 1845.5141081451}",33196
5f16543b4b8c2a921307269e,Feature,"{'type': 'LineString', 'coordinates': [[-77.87067, 41.43063], [-77.85406, 41.41792], [-77.85359, 41.4159], [-77.8528, 41.41186], [-77.84831, 41.40807], [-77.82612, 41.39312], [-77.80265, 41.39563]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Transcontinental Gas PL', 'Shape_Leng': 0.08333872403, 'Shape__Len': 10263.8105248556}",27948
5f16543a4b8c2a9213070aca,Feature,"{'type': 'LineString', 'coordinates': [[-121.22205, 37.7559], [-121.22499, 37.83872]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'California Gas Transmission Co.', 'Shape_Leng': 0.08286831114, 'Shape__Len': 11671.5548074486}",20829
5f16543b4b8c2a9213071542,Feature,"{'type': 'MultiLineString', 'coordinates': [[[-99.8589, 35.39388], [-99.85878, 35.39351], [-99.85626, 35.38997], [-99.85504, 35.3873], [-99.85315, 35.37984], [-99.84387, 35.35533], [-99.8388, 35.34754], [-99.82886, 35.32418], [-99.827, 35.32064], [-99.8203, 35.30559]], [[-99.81846, 35.30204], [-99.81532, 35.2944], [-99.80759, 35.27754]]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Center Point Energy Gas Transmission Co.', 'Shape_Leng': 0.12352145963, 'Shape__Len': 16382.1974227741}",23492
5f16543c4b8c2a9213073868,Feature,"{'type': 'LineString', 'coordinates': [[-94.9477, 30.63698], [-94.72086, 30.48931]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'Kinder Morgan Texas Pipeline Co.', 'Shape_Leng': 0.27067213596, 'Shape__Len': 31656.2793304572}",32500
5f1654394b8c2a921306d380,Feature,"{'type': 'LineString', 'coordinates': [[-101.30483, 30.4628], [-101.31728, 30.51277]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'El Paso Texas Pipeline Co.', 'Shape_Leng': 0.05150123914, 'Shape__Len': 6602.6603064832}",6672
