_id,type,properties,geometry
61e987ca2a70facd8cc9bb2d,Feature,"{'FID': 4, 'Opername': 'ENTERPRISE PRODUCTS', 'Pipename': 'Conway Gathering', 'Shape_Leng': 2.78259182393, 'Shape__Length': 332195.023755112}","{'type': 'LineString', 'coordinates': [[-97.7296338, 38.188537329], [-96.8981965199999, 37.8230137360001], [-96.7037021999999, 37.2368935960001], [-95.46632676, 37.016745009]]}"
61e987ca2a70facd8cc9bb6f,Feature,"{'FID': 71, 'Opername': 'ENBRIDGE', 'Pipename': 'Canadian Mainline', 'Shape_Leng': 16.656252148, 'Shape__Length': 1963894.57426775}","{'type': 'LineString', 'coordinates': [[-97.5326724, 49.000580294], [-104.61693204, 50.410610283], [-109.16879652, 51.8976046870001], [-111.35015388, 52.63801327], [-113.5290204, 53.493649754]]}"
61e987ca2a70facd8cc9bb23,Feature,"{'FID': 8, 'Opername': 'ENTERPRISE PRODUCTS', 'Pipename': 'Dixie', 'Shape_Leng': 3.02953787356, 'Shape__Length': 354978.110238219}","{'type': 'LineString', 'coordinates': [[-84.96177732, 32.629772013], [-84.1554622799999, 31.578683751], [-83.83934628, 31.4958028900001], [-82.46204136, 31.539549327]]}"
61e987ca2a70facd8cc9bb47,Feature,"{'FID': 54, 'Opername': 'NUSTAR ENERGY', 'Pipename': 'LPG to Nuevo Laredo', 'Shape_Leng': 2.6557832523, 'Shape__Length': 310413.522752521}","{'type': 'LineString', 'coordinates': [[-97.3626371729999, 27.943417953], [-97.4619, 27.819399999], [-98.17569, 28.45994], [-98.862990632, 27.9706647680001], [-99.4172887719999, 27.778026062], [-99.461798943, 27.680292076]]}"
61e987ca2a70facd8cc9bb5c,Feature,"{'FID': 73, 'Opername': 'ENTERPRISE PRODUCTS', 'Pipename': 'East Leg - Illini2', 'Shape_Leng': 1.61834838517, 'Shape__Length': 237302.59982545}","{'type': 'LineString', 'coordinates': [[-88.374928669, 41.4155258380001], [-88.3748495299999, 41.409839785], [-88.3737435049999, 41.3749907810001], [-88.350664712, 39.7973643490001]]}"
61e987ca2a70facd8cc9bb30,Feature,"{'FID': 25, 'Opername': 'CHEVRON', 'Pipename': 'West Texas LPG', 'Shape_Leng': 11.9586949521, 'Shape__Length': 1387244.23940238}","{'type': 'LineString', 'coordinates': [[-104.57732592, 32.412889299], [-104.28133284, 32.720736865], [-103.90194864, 32.794472692], [-103.73436504, 32.788686205], [-103.29364404, 32.8387591260001], [-102.88522512, 32.7679771480001], [-102.79391904, 32.4515299980001], [-102.50394084, 32.234554426], [-101.92478616, 32.0934730820001], [-100.75972068, 32.3918442510001], [-100.2833298, 32.5006204850001], [-99.80853876, 32.4066415090001], [-99.4271515199999, 32.4526786010001], [-99.04560408, 32.485558212], [-98.13736944, 32.5803310530001], [-97.9183000799999, 32.694502651], [-96.35133024, 31.732628473], [-95.8997426399999, 31.598426327], [-95.3424558, 31.4813288660001], [-94.8139808399999, 31.3154766850001], [-94.94840304, 30.026408588]]}"
61e987ca2a70facd8cc9bb50,Feature,"{'FID': 63, 'Opername': 'ONEOK', 'Pipename': 'Sterling III', 'Shape_Leng': 7.69440973886, 'Shape__Length': 996912.8423115}","{'type': 'LineString', 'coordinates': [[-97.756239874, 36.7763600330001], [-97.347058777, 35.9884050370001], [-96.8362338859999, 34.938560722], [-96.7083179699999, 34.767353515], [-96.453900714, 34.1573483990001], [-96.407981588, 33.9799510280001], [-96.453915462, 33.6393936750001], [-96.384887244, 33.3408872370001], [-96.29578393, 33.1543541830001], [-96.142978942, 32.835555125], [-95.9027090609999, 32.532217582], [-95.7825747649999, 32.197956596], [-95.5882393109999, 31.7663825830001], [-95.4186372929999, 31.3207142140001], [-95.3986387739999, 31.2208739930001], [-95.14656741, 31.024441423], [-94.962832444, 30.699904286], [-95.034632529, 30.2646096760001], [-94.9910994639999, 30.2400521100001], [-94.917641326, 29.8539373990001]]}"
61e987ca2a70facd8cc9bb65,Feature,"{'FID': 65, 'Opername': 'VANTAGE PIPELINE', 'Pipename': 'Vantage Pipeline', 'Shape_Leng': 8.18551727087, 'Shape__Length': 1008161.43758218}","{'type': 'LineString', 'coordinates': [[-102.917039353, 48.4020680300001], [-102.913324922, 48.426230493], [-102.937098889, 48.426723372], [-102.954186226, 48.4390469900001], [-102.952298463, 48.4596542620001], [-102.9779595, 48.475506329], [-102.987617967, 48.4873255460001], [-102.994303753, 48.5070179790001], [-103.016592158, 48.5084944870001], [-103.131003607, 48.543920438], [-103.134718492, 48.5517897180001], [-103.14511965, 48.556215394], [-103.256931604, 48.5707196500001], [-103.265103501, 48.575635005], [-103.278847736, 48.575880904], [-103.409603323, 48.594187769], [-103.481800589, 48.6423068010001], [-103.538012068, 48.642030988], [-103.619620783, 48.721755788], [-103.630055741, 48.7292054390001], [-103.640563125, 48.7353473860001], [-103.65112617, 48.7376494970001], [-103.655196322, 48.738261246], [-103.65816124, 48.741468674], [-103.671441938, 48.7417440470001], [-103.729131539, 48.8241126840001], [-103.820319667, 48.8956107180001], [-103.833227838, 48.939116734], [-103.859459677, 48.939937216], [-103.859043213, 48.967279622], [-104.013521093, 48.966528021], [-104.022680828, 49.0094267850001], [-104.006007733, 49.14747434], [-104.58937852, 49.1485135840001], [-104.606863129, 49.4119025480001], [-105.123471792, 49.4284474990001], [-105.15208402, 49.465651495], [-105.325346951, 49.527595933], [-105.52810874, 49.5223135790001], [-105.700707283, 49.52704793], [-105.896964656, 49.606332143], [-106.185300665, 49.6450750390001], [-106.411019238, 49.68622874], [-106.496856073, 49.6995965350001], [-106.794399044, 49.698083748], [-107.034858989, 49.669138151], [-107.282776827, 49.712549853], [-107.749432931, 49.725292864], [-108.560107645, 49.728856669], [-108.761889401, 49.787862068], [-109.024250587, 49.970019113], [-109.464572934, 50.265841616], [-109.761401111, 50.4571203620001], [-109.931889697, 50.6416701790001], [-109.980054963, 50.659256113], [-110.024981494, 50.685366671], [-110.030474164, 50.6855525720001]]}"
61e987ca2a70facd8cc9bb3e,Feature,"{'FID': 44, 'Opername': 'MARATHON', 'Pipename': 'Cornerstone', 'Shape_Leng': 0.637256559179, 'Shape__Length': 83250.6582438648}","{'type': 'LineString', 'coordinates': [[-81.4091371329999, 40.686696022], [-81.386894448, 40.6495041590001], [-81.3751241319999, 40.615131433], [-81.369394143, 40.580737863], [-81.364880613, 40.559508285], [-81.356117185, 40.534688503], [-81.343497586, 40.518575727], [-81.334769673, 40.498350492], [-81.303021601, 40.4591780040001], [-81.276085525, 40.435142469], [-81.2234046029999, 40.3864286730001], [-81.199943364, 40.3651016210001], [-81.1475808229999, 40.3385925760001], [-81.1053134489999, 40.307205142], [-81.0796336879999, 40.2779033970001], [-81.027059008, 40.252831243], [-80.9957594999999, 40.2404108160001]]}"
61e987ca2a70facd8cc9bb72,Feature,"{'FID': 94, 'Opername': 'ENTERPRISE PRODUCTS', 'Pipename': 'Shoup\\Mont Belvieu', 'Shape_Leng': 0.272662440742, 'Shape__Length': 33125.5056828632}","{'type': 'LineString', 'coordinates': [[-95.8562306439999, 29.1526087500001], [-95.937099299, 29.2803686680001], [-95.907413336, 29.328572197], [-95.852136028, 29.3624795480001]]}"
